Re_ID,BudgetOfficer_ID,Employee_ID,Amount,Date
1,5,1,1200.50,"2024-06-01 12:00:00"
2,10,2,890.00,"2024-06-01 12:00:00"
3,15,3,1350.75,"2024-06-01 12:00:00"
4,20,4,980.25,"2024-06-01 12:00:00"
5,5,5,1450.00,"2024-06-01 12:00:00"
6,10,6,990.90,"2024-06-01 12:00:00"
7,15,7,1235.50,"2024-06-01 12:00:00"
8,20,8,1100.00,"2024-06-01 12:00:00"
9,5,9,875.75,"2024-06-01 12:00:00"
10,10,10,1150.25,"2024-06-01 12:00:00"
11,15,11,1025.00,"2024-06-01 12:00:00"
12,20,12,1195.80,"2024-06-01 12:00:00"
13,5,13,980.65,"2024-06-01 12:00:00"
14,10,14,1380.40,"2024-06-01 12:00:00"
15,15,15,1120.00,"2024-06-01 12:00:00"
16,20,16,925.00,"2024-06-01 12:00:00"
17,5,17,1075.25,"2024-06-01 12:00:00"
18,10,18,860.90,"2024-06-01 12:00:00"
19,15,19,1240.60,"2024-06-01 12:00:00"
20,20,20,990.75,"2024-06-01 12:00:00"
